customer_id,gender,age,annual_income,spending_score,cluster
1,1,19.0,15.0,39.0,3
2,1,21.0,15.0,81.0,4
3,0,20.0,16.0,6.0,3
4,0,23.0,16.0,77.0,4
5,0,31.0,17.0,40.0,3
6,0,22.0,17.0,76.0,4
7,0,35.0,18.0,6.0,3
8,0,23.0,18.0,94.0,4
9,1,64.0,19.0,3.0,3
10,0,30.0,19.0,72.0,4
11,1,67.0,19.0,14.0,3
12,0,35.0,19.0,99.0,4
13,0,58.0,20.0,15.0,3
14,0,24.0,20.0,77.0,4
15,1,37.0,20.0,13.0,3
16,1,22.0,20.0,79.0,4
17,0,35.0,21.0,35.0,3
18,1,20.0,21.0,66.0,4
19,1,52.0,23.0,29.0,3
20,0,35.0,23.0,98.0,4
21,1,35.0,24.0,35.0,3
22,1,25.0,24.0,73.0,4
23,0,46.0,25.0,5.0,3
24,1,31.0,25.0,73.0,4
25,0,54.0,28.0,14.0,3
26,1,29.0,28.0,82.0,4
27,0,45.0,28.0,32.0,3
28,1,35.0,28.0,61.0,5
29,0,40.0,29.0,31.0,3
30,0,23.0,29.0,87.0,4
31,1,60.0,30.0,4.0,3
32,0,21.0,30.0,73.0,4
33,1,53.0,33.0,4.0,3
34,1,18.0,33.0,92.0,4
35,0,49.0,33.0,14.0,3
36,0,21.0,33.0,81.0,4
37,0,42.0,34.0,17.0,3
38,0,30.0,34.0,73.0,4
39,0,36.0,37.0,26.0,3
40,0,20.0,37.0,75.0,4
41,0,65.0,38.0,35.0,3
42,1,24.0,38.0,92.0,4
43,1,48.0,39.0,36.0,3
44,0,31.0,39.0,61.0,5
45,0,49.0,39.0,28.0,3
46,0,24.0,39.0,65.0,5
47,0,50.0,40.0,55.0,2
48,0,27.0,40.0,47.0,5
49,0,29.0,40.0,42.0,5
50,0,31.0,40.0,42.0,5
51,0,49.0,42.0,52.0,2
52,1,33.0,42.0,60.0,5
53,0,31.0,43.0,54.0,5
54,1,59.0,43.0,60.0,2
55,0,50.0,43.0,45.0,2
56,1,47.0,43.0,41.0,2
57,0,51.0,44.0,50.0,2
58,1,69.0,44.0,46.0,2
59,0,27.0,46.0,51.0,5
60,1,53.0,46.0,46.0,2
61,1,70.0,46.0,56.0,2
62,1,19.0,46.0,55.0,5
63,0,67.0,47.0,52.0,2
64,0,54.0,47.0,59.0,2
65,1,63.0,48.0,51.0,2
66,1,18.0,48.0,59.0,5
67,0,43.0,48.0,50.0,2
68,0,68.0,48.0,48.0,2
69,1,19.0,48.0,59.0,5
70,0,32.0,48.0,47.0,5
71,1,70.0,49.0,55.0,2
72,0,47.0,49.0,42.0,2
73,0,60.0,50.0,49.0,2
74,0,60.0,50.0,56.0,2
75,1,59.0,54.0,47.0,2
76,1,26.0,54.0,54.0,5
77,0,45.0,54.0,53.0,2
78,1,40.0,54.0,48.0,2
79,0,23.0,54.0,52.0,5
80,0,49.0,54.0,42.0,2
81,1,57.0,54.0,51.0,2
82,1,38.0,54.0,55.0,2
83,1,67.0,54.0,41.0,2
84,0,46.0,54.0,44.0,2
85,0,21.0,54.0,57.0,5
86,1,48.0,54.0,46.0,2
87,0,55.0,57.0,58.0,2
88,0,22.0,57.0,55.0,5
89,0,34.0,58.0,60.0,2
90,0,50.0,58.0,46.0,2
91,0,68.0,59.0,55.0,2
92,1,18.0,59.0,41.0,5
93,1,48.0,60.0,49.0,2
94,0,40.0,60.0,40.0,2
95,0,32.0,60.0,42.0,2
96,1,24.0,60.0,52.0,5
97,0,47.0,60.0,47.0,2
98,0,27.0,60.0,50.0,5
99,1,48.0,61.0,42.0,2
100,1,20.0,61.0,49.0,5
101,0,23.0,62.0,41.0,5
102,0,49.0,62.0,48.0,2
103,1,67.0,62.0,59.0,2
104,1,26.0,62.0,55.0,5
105,1,49.0,62.0,56.0,2
106,0,21.0,62.0,42.0,5
107,0,66.0,63.0,50.0,2
108,1,54.0,63.0,46.0,2
109,1,68.0,63.0,43.0,2
110,1,66.0,63.0,48.0,2
111,1,65.0,63.0,52.0,2
112,0,19.0,63.0,54.0,5
113,0,38.0,64.0,42.0,2
114,1,19.0,64.0,46.0,5
115,0,18.0,65.0,48.0,5
116,0,19.0,65.0,50.0,5
117,0,63.0,65.0,43.0,2
118,0,49.0,65.0,59.0,2
119,0,51.0,67.0,43.0,2
120,0,50.0,67.0,57.0,2
121,1,27.0,67.0,56.0,5
122,0,38.0,67.0,40.0,2
123,0,40.0,69.0,58.0,2
124,1,39.0,69.0,91.0,1
125,0,23.0,70.0,29.0,5
126,0,31.0,70.0,77.0,1
127,1,43.0,71.0,35.0,2
128,1,40.0,71.0,95.0,1
129,1,59.0,71.0,11.0,0
130,1,38.0,71.0,75.0,1
131,1,47.0,71.0,9.0,0
132,1,39.0,71.0,75.0,1
133,0,25.0,72.0,34.0,5
134,0,31.0,72.0,71.0,1
135,1,20.0,73.0,5.0,0
136,0,29.0,73.0,88.0,1
137,0,44.0,73.0,7.0,0
138,1,32.0,73.0,73.0,1
139,1,19.0,74.0,10.0,0
140,0,35.0,74.0,72.0,1
141,0,57.0,75.0,5.0,0
142,1,32.0,75.0,93.0,1
143,0,28.0,76.0,40.0,5
144,0,32.0,76.0,87.0,1
145,1,25.0,77.0,12.0,0
146,1,28.0,77.0,97.0,1
147,1,48.0,77.0,36.0,0
148,0,32.0,77.0,74.0,1
149,0,34.0,78.0,22.0,0
150,1,34.0,78.0,90.0,1
151,1,43.0,78.0,17.0,0
152,1,39.0,78.0,88.0,1
153,0,44.0,78.0,20.0,0
154,0,38.0,78.0,76.0,1
155,0,47.0,78.0,16.0,0
156,0,27.0,78.0,89.0,1
157,1,37.0,78.0,1.0,0
158,0,30.0,78.0,78.0,1
159,1,34.0,78.0,1.0,0
160,0,30.0,78.0,73.0,1
161,0,56.0,79.0,35.0,0
162,0,29.0,79.0,83.0,1
163,1,19.0,81.0,5.0,0
164,0,31.0,81.0,93.0,1
165,1,50.0,85.0,26.0,0
166,0,36.0,85.0,75.0,1
167,1,42.0,86.0,20.0,0
168,0,33.0,86.0,95.0,1
169,0,36.0,87.0,27.0,0
170,1,32.0,87.0,63.0,1
171,1,40.0,87.0,13.0,0
172,1,28.0,87.0,75.0,1
173,1,36.0,87.0,10.0,0
174,1,36.0,87.0,92.0,1
175,0,52.0,88.0,13.0,0
176,0,30.0,88.0,86.0,1
177,1,58.0,88.0,15.0,0
178,1,27.0,88.0,69.0,1
179,1,59.0,93.0,14.0,0
180,1,35.0,93.0,90.0,1
181,0,37.0,97.0,32.0,0
182,0,32.0,97.0,86.0,1
183,1,46.0,98.0,15.0,0
184,0,29.0,98.0,88.0,1
185,0,41.0,99.0,39.0,0
186,1,30.0,99.0,97.0,1
187,0,54.0,101.0,24.0,0
188,1,28.0,101.0,68.0,1
189,0,41.0,103.0,17.0,0
190,0,36.0,103.0,85.0,1
191,0,34.0,103.0,23.0,0
192,0,32.0,103.0,69.0,1
193,1,33.0,113.0,8.0,0
194,0,38.0,113.0,91.0,1
195,0,47.0,120.0,16.0,0
196,0,35.0,120.0,79.0,1
197,0,45.0,126.0,28.0,0
198,1,32.0,126.0,74.0,1
199,1,32.0,137.0,18.0,0
200,1,30.0,137.0,83.0,1
