iter	Passed	Remaining
0	7	7462
1	19	9973
2	28	9603
3	37	9409
4	47	9419
5	56	9364
6	65	9296
7	75	9320
8	84	9305
9	93	9231
10	101	9153
11	111	9154
12	121	9198
13	130	9180
14	139	9153
15	149	9168
16	158	9142
17	168	9173
18	177	9163
19	186	9154
20	196	9143
21	206	9163
22	217	9246
23	227	9256
24	237	9278
25	247	9266
26	256	9230
27	264	9177
28	272	9139
29	281	9111
30	290	9092
31	299	9054
32	308	9026
33	317	9025
34	326	8989
35	335	8977
36	344	8965
37	353	8936
38	361	8914
39	370	8896
40	379	8880
41	388	8858
42	398	8879
43	408	8869
44	417	8856
45	427	8864
46	436	8858
47	445	8843
48	453	8810
49	463	8798
50	471	8775
51	479	8749
52	489	8754
53	501	8790
54	510	8772
55	519	8758
56	529	8753
57	537	8736
58	555	8864
59	570	8939
60	583	8979
61	597	9040
62	616	9161
63	626	9166
64	636	9162
65	648	9183
66	658	9171
67	666	9129
68	674	9106
69	683	9077
70	692	9062
71	701	9047
72	710	9023
73	719	9002
74	728	8985
75	738	8982
76	748	8966
77	757	8956
78	767	8948
79	777	8942
80	788	8949
81	799	8951
82	809	8942
83	818	8923
84	828	8913
85	836	8894
86	845	8876
87	854	8858
88	862	8825
89	871	8812
90	881	8805
91	893	8816
92	906	8845
93	915	8824
94	926	8829
95	937	8827
96	946	8812
97	955	8794
98	964	8773
99	973	8762
100	983	8758
101	999	8803
102	1011	8805
103	1023	8815
104	1034	8818
105	1046	8826
106	1056	8813
107	1066	8805
108	1076	8801
109	1090	8823
110	1099	8809
111	1110	8802
112	1120	8793
113	1129	8780
114	1138	8764
115	1162	8860
116	1187	8963
117	1204	9001
118	1214	8994
119	1225	8989
120	1234	8971
121	1246	8971
122	1257	8964
123	1267	8954
124	1278	8946
125	1289	8943
126	1299	8929
127	1308	8914
128	1318	8900
129	1327	8885
130	1338	8876
131	1347	8860
132	1356	8841
133	1364	8819
134	1373	8799
135	1382	8785
136	1392	8773
137	1401	8756
138	1410	8738
139	1419	8721
140	1428	8705
141	1437	8686
142	1446	8667
143	1454	8645
144	1462	8625
145	1470	8603
146	1479	8583
147	1488	8568
148	1496	8547
149	1506	8535
150	1515	8518
151	1523	8499
152	1532	8486
153	1541	8466
154	1549	8449
155	1558	8430
156	1566	8411
157	1575	8393
158	1584	8380
159	1593	8363
160	1602	8348
161	1611	8334
162	1620	8320
163	1629	8304
164	1637	8287
165	1646	8271
166	1654	8254
167	1663	8239
168	1671	8220
169	1682	8212
170	1691	8200
171	1701	8190
172	1711	8179
173	1720	8168
174	1730	8156
175	1739	8146
176	1749	8135
177	1759	8123
178	1768	8112
179	1780	8112
180	1791	8107
181	1802	8099
182	1813	8095
183	1823	8086
184	1833	8079
185	1849	8094
186	1869	8127
187	1888	8155
188	1902	8165
189	1911	8149
190	1920	8134
191	1928	8117
192	1937	8100
193	1946	8086
194	1955	8071
195	1964	8057
196	1972	8041
197	1982	8030
198	1991	8016
199	2000	8001
200	2009	7986
201	2017	7971
202	2026	7956
203	2036	7944
204	2045	7930
205	2054	7920
206	2064	7908
207	2073	7895
208	2082	7883
209	2091	7868
210	2100	7854
211	2108	7837
212	2116	7821
213	2125	7807
214	2134	7792
215	2143	7779
216	2152	7765
217	2161	7752
218	2169	7737
219	2180	7729
220	2188	7713
221	2197	7699
222	2205	7682
223	2214	7671
224	2223	7657
225	2231	7642
226	2240	7628
227	2248	7613
228	2257	7599
229	2265	7585
230	2275	7573
231	2284	7563
232	2295	7557
233	2304	7544
234	2313	7530
235	2321	7516
236	2330	7502
237	2338	7488
238	2347	7474
239	2357	7466
240	2376	7484
241	2393	7498
242	2403	7488
243	2413	7479
244	2423	7468
245	2434	7460
246	2444	7451
247	2455	7446
248	2465	7436
249	2476	7430
250	2486	7420
251	2496	7410
252	2506	7400
253	2516	7389
254	2525	7378
255	2534	7366
256	2543	7354
257	2552	7342
258	2561	7328
259	2571	7318
260	2580	7307
261	2589	7294
262	2598	7280
263	2607	7268
264	2616	7256
265	2624	7243
266	2633	7229
267	2642	7218
268	2651	7206
269	2661	7195
270	2671	7186
271	2680	7174
272	2689	7161
273	2698	7148
274	2706	7135
275	2714	7121
276	2723	7108
277	2732	7096
278	2741	7084
279	2750	7071
280	2759	7059
281	2768	7048
282	2777	7037
283	2786	7025
284	2795	7013
285	2804	7000
286	2813	6989
287	2822	6977
288	2831	6965
289	2839	6952
290	2848	6939
291	2857	6927
292	2866	6915
293	2875	6906
294	2884	6894
295	2892	6880
296	2901	6868
297	2910	6855
298	2918	6842
299	2926	6829
300	2935	6815
301	2943	6802
302	2951	6788
303	2959	6775
304	2969	6766
305	2977	6753
306	2986	6741
307	2996	6731
308	3004	6718
309	3012	6706
310	3022	6695
311	3030	6683
312	3040	6672
313	3048	6660
314	3057	6649
315	3066	6638
316	3075	6626
317	3083	6613
318	3092	6602
319	3100	6589
320	3109	6576
321	3117	6565
322	3126	6553
323	3134	6540
324	3143	6529
325	3152	6517
326	3161	6506
327	3171	6496
328	3179	6483
329	3188	6473
330	3196	6461
331	3205	6448
332	3214	6438
333	3223	6426
334	3232	6416
335	3241	6405
336	3249	6393
337	3258	6381
338	3268	6372
339	3276	6360
340	3285	6349
341	3294	6337
342	3302	6325
343	3309	6310
344	3317	6298
345	3326	6287
346	3334	6275
347	3342	6262
348	3351	6250
349	3360	6240
350	3371	6233
351	3379	6221
352	3388	6210
353	3396	6197
354	3404	6186
355	3413	6175
356	3422	6164
357	3433	6156
358	3442	6146
359	3450	6134
360	3459	6122
361	3469	6114
362	3478	6104
363	3487	6092
364	3495	6081
365	3504	6071
366	3512	6058
367	3521	6047
368	3529	6036
369	3538	6025
370	3547	6014
371	3555	6002
372	3564	5991
373	3573	5981
374	3581	5969
375	3590	5957
376	3599	5947
377	3607	5936
378	3616	5925
379	3625	5914
380	3634	5904
381	3643	5894
382	3652	5884
383	3663	5877
384	3672	5865
385	3680	5854
386	3689	5843
387	3697	5832
388	3706	5822
389	3715	5811
390	3723	5799
391	3732	5789
392	3741	5778
393	3750	5768
394	3759	5757
395	3768	5747
396	3777	5737
397	3785	5726
398	3793	5714
399	3801	5702
400	3810	5691
401	3818	5680
402	3826	5668
403	3834	5657
404	3844	5648
405	3853	5638
406	3863	5629
407	3871	5618
408	3880	5606
409	3889	5596
410	3897	5585
411	3906	5575
412	3915	5564
413	3924	5554
414	3933	5544
415	3941	5533
416	3950	5522
417	3959	5512
418	3969	5504
419	3977	5492
420	3986	5482
421	3995	5472
422	4004	5461
423	4012	5451
424	4021	5441
425	4030	5430
426	4039	5420
427	4050	5412
428	4059	5403
429	4068	5393
430	4077	5382
431	4086	5372
432	4095	5362
433	4103	5351
434	4111	5340
435	4120	5329
436	4128	5319
437	4136	5308
438	4145	5297
439	4153	5286
440	4163	5277
441	4171	5265
442	4179	5255
443	4187	5244
444	4196	5233
445	4204	5222
446	4212	5211
447	4221	5201
448	4229	5190
449	4238	5180
450	4247	5170
451	4257	5161
452	4265	5150
453	4274	5140
454	4282	5129
455	4290	5118
456	4299	5108
457	4307	5097
458	4316	5087
459	4324	5077
460	4333	5066
461	4341	5056
462	4350	5045
463	4360	5036
464	4369	5027
465	4378	5016
466	4386	5006
467	4394	4995
468	4403	4985
469	4412	4975
470	4421	4965
471	4427	4953
472	4435	4942
473	4445	4932
474	4454	4923
475	4463	4913
476	4472	4903
477	4480	4892
478	4489	4882
479	4497	4872
480	4505	4861
481	4514	4851
482	4522	4841
483	4531	4831
484	4541	4822
485	4550	4812
486	4559	4802
487	4567	4792
488	4576	4782
489	4585	4772
490	4593	4761
491	4601	4751
492	4611	4742
493	4619	4731
494	4628	4722
495	4637	4712
496	4646	4702
497	4655	4693
498	4664	4683
499	4673	4673
500	4681	4662
501	4690	4652
502	4698	4642
503	4707	4632
504	4715	4621
505	4723	4611
506	4732	4601
507	4741	4592
508	4750	4582
509	4759	4572
510	4767	4562
511	4775	4551
512	4784	4541
513	4793	4531
514	4801	4521
515	4809	4511
516	4818	4501
517	4827	4491
518	4837	4483
519	4847	4474
520	4856	4465
521	4865	4455
522	4873	4444
523	4882	4435
524	4890	4424
525	4898	4414
526	4907	4404
527	4915	4394
528	4923	4383
529	4932	4373
530	4940	4364
531	4949	4354
532	4957	4343
533	4966	4334
534	4975	4324
535	4983	4314
536	4991	4303
537	5000	4293
538	5009	4284
539	5018	4275
540	5028	4266
541	5039	4258
542	5048	4248
543	5056	4238
544	5064	4228
545	5073	4218
546	5082	4209
547	5091	4199
548	5099	4189
549	5108	4179
550	5116	4169
551	5124	4159
552	5133	4149
553	5142	4139
554	5150	4130
555	5159	4120
556	5168	4110
557	5176	4100
558	5184	4090
559	5193	4080
560	5201	4070
561	5210	4060
562	5219	4050
563	5229	4042
564	5238	4033
565	5247	4023
566	5256	4014
567	5265	4004
568	5273	3994
569	5282	3985
570	5291	3975
571	5299	3965
572	5307	3955
573	5315	3945
574	5324	3935
575	5332	3925
576	5342	3916
577	5350	3906
578	5359	3897
579	5367	3886
580	5375	3876
581	5385	3867
582	5394	3858
583	5403	3848
584	5411	3839
585	5420	3829
586	5430	3820
587	5441	3812
588	5449	3802
589	5457	3792
590	5466	3782
591	5474	3772
592	5482	3763
593	5491	3753
594	5499	3743
595	5508	3733
596	5517	3724
597	5525	3714
598	5535	3705
599	5543	3695
600	5552	3686
601	5561	3677
602	5570	3667
603	5578	3657
604	5586	3647
605	5595	3637
606	5604	3628
607	5612	3618
608	5621	3609
609	5631	3600
610	5640	3590
611	5648	3581
612	5657	3571
613	5665	3561
614	5674	3552
615	5683	3542
616	5692	3533
617	5700	3523
618	5708	3513
619	5717	3504
620	5725	3494
621	5733	3484
622	5742	3474
623	5750	3465
624	5759	3455
625	5767	3445
626	5776	3436
627	5785	3426
628	5794	3417
629	5803	3408
630	5812	3398
631	5820	3389
632	5830	3380
633	5840	3371
634	5850	3362
635	5858	3352
636	5866	3343
637	5874	3333
638	5883	3323
639	5891	3314
640	5899	3304
641	5906	3293
642	5914	3283
643	5922	3273
644	5932	3264
645	5940	3255
646	5949	3246
647	5958	3236
648	5966	3226
649	5974	3217
650	5982	3207
651	5991	3198
652	6000	3188
653	6009	3179
654	6018	3170
655	6028	3161
656	6037	3151
657	6045	3142
658	6054	3132
659	6062	3123
660	6071	3113
661	6079	3104
662	6090	3095
663	6098	3086
664	6108	3077
665	6117	3067
666	6126	3058
667	6135	3049
668	6144	3040
669	6152	3030
670	6160	3020
671	6169	3011
672	6178	3001
673	6186	2992
674	6195	2983
675	6204	2973
676	6213	2964
677	6221	2954
678	6234	2947
679	6244	2938
680	6253	2929
681	6262	2920
682	6271	2910
683	6280	2901
684	6288	2891
685	6297	2882
686	6306	2873
687	6315	2863
688	6323	2854
689	6332	2844
690	6340	2835
691	6349	2825
692	6357	2816
693	6365	2806
694	6374	2797
695	6383	2788
696	6391	2778
697	6400	2769
698	6408	2759
699	6418	2750
700	6428	2741
701	6437	2732
702	6445	2723
703	6454	2713
704	6461	2703
705	6470	2694
706	6479	2685
707	6487	2675
708	6496	2666
709	6502	2655
710	6511	2646
711	6520	2637
712	6528	2627
713	6536	2618
714	6545	2608
715	6553	2599
716	6561	2589
717	6570	2580
718	6578	2570
719	6586	2561
720	6594	2551
721	6603	2542
722	6612	2533
723	6621	2524
724	6631	2515
725	6640	2506
726	6648	2496
727	6656	2487
728	6665	2477
729	6673	2468
730	6682	2458
731	6690	2449
732	6699	2440
733	6707	2430
734	6717	2421
735	6736	2416
736	6761	2412
737	6772	2404
738	6781	2394
739	6789	2385
740	6798	2376
741	6806	2366
742	6815	2357
743	6824	2348
744	6832	2338
745	6841	2329
746	6849	2319
747	6858	2310
748	6867	2301
749	6875	2291
750	6884	2282
751	6893	2273
752	6902	2264
753	6912	2255
754	6921	2245
755	6929	2236
756	6938	2227
757	6946	2217
758	6954	2208
759	6963	2198
760	6971	2189
761	6979	2179
762	6987	2170
763	6996	2161
764	7006	2152
765	7016	2143
766	7024	2134
767	7033	2124
768	7042	2115
769	7052	2106
770	7060	2096
771	7068	2087
772	7077	2078
773	7084	2068
774	7093	2059
775	7101	2049
776	7111	2041
777	7120	2031
778	7128	2022
779	7137	2013
780	7146	2004
781	7157	1995
782	7166	1986
783	7174	1976
784	7182	1967
785	7191	1957
786	7199	1948
787	7208	1939
788	7217	1930
789	7225	1920
790	7233	1911
791	7243	1902
792	7250	1892
793	7259	1883
794	7267	1874
795	7276	1864
796	7284	1855
797	7292	1846
798	7301	1836
799	7310	1827
800	7319	1818
801	7331	1809
802	7339	1800
803	7349	1791
804	7358	1782
805	7367	1773
806	7375	1763
807	7383	1754
808	7393	1745
809	7401	1736
810	7409	1726
811	7418	1717
812	7427	1708
813	7437	1699
814	7446	1690
815	7455	1681
816	7463	1671
817	7473	1662
818	7482	1653
819	7490	1644
820	7499	1635
821	7507	1625
822	7516	1616
823	7524	1607
824	7533	1598
825	7542	1588
826	7550	1579
827	7558	1570
828	7566	1560
829	7575	1551
830	7583	1542
831	7592	1533
832	7601	1524
833	7611	1514
834	7620	1505
835	7629	1496
836	7638	1487
837	7647	1478
838	7656	1469
839	7664	1459
840	7672	1450
841	7681	1441
842	7689	1432
843	7698	1423
844	7708	1413
845	7716	1404
846	7727	1395
847	7736	1386
848	7744	1377
849	7753	1368
850	7761	1358
851	7770	1349
852	7779	1340
853	7788	1331
854	7797	1322
855	7805	1313
856	7814	1303
857	7825	1295
858	7836	1286
859	7845	1277
860	7853	1267
861	7862	1258
862	7870	1249
863	7880	1240
864	7890	1231
865	7899	1222
866	7907	1213
867	7916	1203
868	7924	1194
869	7933	1185
870	7943	1176
871	7951	1167
872	7960	1158
873	7969	1148
874	7978	1139
875	7986	1130
876	7995	1121
877	8003	1112
878	8011	1102
879	8019	1093
880	8028	1084
881	8037	1075
882	8047	1066
883	8055	1057
884	8064	1047
885	8073	1038
886	8092	1030
887	8114	1023
888	8125	1014
889	8134	1005
890	8146	996
891	8156	987
892	8164	978
893	8174	969
894	8182	959
895	8193	951
896	8202	941
897	8211	932
898	8219	923
899	8227	914
900	8235	904
901	8246	895
902	8255	886
903	8266	877
904	8275	868
905	8284	859
906	8294	850
907	8302	841
908	8309	831
909	8318	822
910	8326	813
911	8335	804
912	8343	795
913	8352	785
914	8360	776
915	8369	767
916	8377	758
917	8386	749
918	8395	739
919	8403	730
920	8412	721
921	8421	712
922	8431	703
923	8441	694
924	8450	685
925	8459	676
926	8467	666
927	8476	657
928	8484	648
929	8493	639
930	8501	630
931	8509	620
932	8518	611
933	8527	602
934	8537	593
935	8545	584
936	8553	575
937	8563	566
938	8571	556
939	8580	547
940	8589	538
941	8598	529
942	8607	520
943	8616	511
944	8624	501
945	8633	492
946	8641	483
947	8651	474
948	8661	465
949	8670	456
950	8678	447
951	8688	438
952	8696	428
953	8704	419
954	8714	410
955	8722	401
956	8731	392
957	8739	383
958	8748	374
959	8756	364
960	8767	355
961	8776	346
962	8785	337
963	8794	328
964	8802	319
965	8811	310
966	8819	300
967	8828	291
968	8838	282
969	8847	273
970	8857	264
971	8864	255
972	8874	246
973	8884	237
974	8893	228
975	8900	218
976	8907	209
977	8917	200
978	8926	191
979	8935	182
980	8943	173
981	8951	164
982	8960	154
983	8968	145
984	8977	136
985	8987	127
986	8996	118
987	9005	109
988	9014	100
989	9022	91
990	9031	82
991	9039	72
992	9048	63
993	9056	54
994	9066	45
995	9074	36
996	9083	27
997	9092	18
998	9100	9
999	9109	0
